Code département;Département;Code circonscription;Circonscription;Numéro de panneau;Libellé abrégé de liste;Libellé de la liste;Code nuance de liste;Nuance de liste;Tête de liste;Ordre;Sexe;Nom sur le bulletin de vote;Prénom sur le bulletin de vote;Nationalité;Code personnalité;CC
31;Haute-Garonne;31550;Soueich;1;Agir ensemble pour Soueich;Agir ensemble pour Soueich;;;OUI;1;F;SEGARD;Brigitte;Française;;
31;Haute-Garonne;31550;Soueich;2;OSONS POUR SOUEICH 2026;OSONS POUR SOUEICH 2026;;;OUI;1;M;BORDES-LARRIEU;Alain;Française;;
31;Haute-Garonne;31551;Tarabel;1;Vivre à Tarabel, c'est décider ensemble;Vivre à Tarabel, c'est décider ensemble;;;OUI;1;M;MIGEON;Frederic;Française;;
31;Haute-Garonne;31552;Terrebasse;1;TERREBASSE DEMAIN;TERREBASSE DEMAIN;;;OUI;1;M;DIGNAT;Francis;Française;;
31;Haute-Garonne;31553;Thil;1;Pour bien vivre à Thil, continuons ensemble;Pour bien vivre à Thil, continuons ensemble;;;OUI;1;F;FRAYARD;Céline;Française;;OUI
31;Haute-Garonne;31554;Touille;1;AGIR POUR TOUILLE;AGIR POUR TOUILLE;;;OUI;1;M;BOUÉ;Vincent;Française;;
31;Haute-Garonne;31555;Toulouse;1;Vivre mieux La gauche unie, écologiste, citoyenne et solidaire;Vivre mieux La gauche unie, écologiste, citoyenne et solidaire;LUG;Liste d'union à gauche;OUI;1;M;BRIANÇON;François;Française;;OUI
31;Haute-Garonne;31555;Toulouse;2;NPA Révolutionnaires- Toulouse ouvriére et révolutionnaire.;NPA Révolutionnaires- Toulouse ouvriére et révolutionnaire.;LEXG;Liste d'extrême-gauche;OUI;1;M;SCALI;Guillaume;Française;;OUI
31;Haute-Garonne;31555;Toulouse;3;LUTTE OUVRIÈRE - LE CAMP DES TRAVAILLEURS;LUTTE OUVRIÈRE - LE CAMP DES TRAVAILLEURS;LEXG;Liste d'extrême-gauche;OUI;1;F;ADRADA;Malena;Française;;OUI
31;Haute-Garonne;31555;Toulouse;4;Toulouse pour les jeunes, les travailleurs et les services publics, contre les budgets de guerre;Toulouse pour les jeunes, les travailleurs et les services publics, contre les budgets de guerre;LEXG;Liste d'extrême-gauche;OUI;1;M;MENENDEZ;Julian;Française;;OUI
31;Haute-Garonne;31555;Toulouse;5;Avec Jean-Luc MOUDENC, Protégeons l'Avenir de Toulouse;Avec Jean-Luc MOUDENC, Protégeons l'Avenir de Toulouse;LDVD;Liste divers droite;OUI;1;M;MOUDENC;Jean-Luc;Française;MAI;OUI
31;Haute-Garonne;31555;Toulouse;6;Le bon sens toulousain;Le bon sens toulousain;LRN;Liste du Rassemblement National;OUI;1;M;LEONARDELLI;Julien;Française;DEP;OUI
31;Haute-Garonne;31555;Toulouse;7;A LA RECONQUETE ! DE TOULOUSE;A LA RECONQUETE ! DE TOULOUSE;LREC;Liste Reconquête !;OUI;1;M;COTTREL;Arthur;Française;;OUI
31;Haute-Garonne;31555;Toulouse;8;Nouvel air;Nouvel air;LDVC;Liste divers centre;OUI;1;M;MEILHAC;Lambert;Française;;OUI
31;Haute-Garonne;31555;Toulouse;9;Demain Toulouse à gauche et écologiste;Demain Toulouse à gauche et écologiste;LFI;Liste de La France insoumise;OUI;1;M;PIQUEMAL;François;Française;DEP;OUI
31;Haute-Garonne;31555;Toulouse;10;UNE TRAVAILLEUSE AU CAPITOLE;UNE TRAVAILLEUSE AU CAPITOLE;LEXG;Liste d'extrême-gauche;OUI;1;F;PEDINOTTI;Vanessa;Française;;OUI
31;Haute-Garonne;31556;Les Tourreilles;1;Ensemble pour notre commune;Ensemble pour notre commune;;;OUI;1;F;MARTY;Cyrielle;Française;;
31;Haute-Garonne;31557;Tournefeuille;1;Tournefeuille dynamique;Tournefeuille dynamique;LDVC;Liste divers centre;OUI;1;M;PEREZ;Stéphane;Française;;OUI
